title,product_price,original_price,price_w_discount,url
Spirograph Game (Create Unlimited Designs) - Art & Craft Kit (8-16 Years),668,890,601.20,https://snooplay.in/products/spirograph-game-create-unlimited-designs-art-craft-kit-8-16-years
Fizzy Chemistry Kit (6-11 Years),999,"1,499",899.10,https://snooplay.in/products/fizzy-chemistry-kit-6-11-years
Set of 18 Climbing Wall Holds - Multicolor (5 Years till Grown Ups),"3,899","7,999","3,509.10",https://snooplay.in/products/set-of-18-climbing-wall-holds-multicolor-5-years-till-grown-ups#MainContent
Air Hockey Set - Play Anywhere (6 Years till Grown Ups),629.10,699,566.19,https://snooplay.in/products/air-hockey-set-play-anywhere-6-years-till-grown-ups#MainContent
Hand & Feet Twister Jumping Hopscotch Play Mat (2-10 Years),474.05,"1,499",426.65,https://snooplay.in/products/hand-feet-twister-jumping-hopscotch-play-mat-2-10-years
DIY Kit: Create Your Own Colorful Rope Bracelets (6-10 Years),"1,399","1,850","1,259.10",https://snooplay.in/products/diy-kit-create-your-own-colorful-rope-bracelets-6-10-years#MainContent
Hand & Feet Twister Jumping Hopscotch Play Mat (2-10 Years),474.05,"1,499",426.65,https://snooplay.in/products/hand-feet-twister-jumping-hopscotch-play-mat-2-10-years#MainContent
Spirograph Game (Create Unlimited Designs) - Art & Craft Kit (8-16 Years),668,890,601.20,https://snooplay.in/products/spirograph-game-create-unlimited-designs-art-craft-kit-8-16-years#MainContent
Fizzy Chemistry Kit (6-11 Years),999,"1,499",899.10,https://snooplay.in/products/fizzy-chemistry-kit-6-11-years#MainContent
12 Colors Air Dry Magic Clay with Sculpting Tools - Pack of 12 (2-8 Years),215,499,193.50,https://snooplay.in/products/12-colors-air-dry-magic-clay-with-sculpting-tools-pack-of-12-2-8-years#MainContent
Dino Soap Kit (6-8 Years),299,399,269.10,https://snooplay.in/products/dino-soap-kit-6-8-years#MainContent
Nippon Cricket Ball Synthetic - Blister Packing (12 Years - Grown Ups),265,449,238.50,https://snooplay.in/products/synthetic-ball-blister
Monopoly Deal Card Game - Indian States | Hindi Version (6 Years till Grown Ups),269.10,299,,https://snooplay.in/products/monopoly-deal-card-game-indian-states-hindi-version-6-years-till-grown-ups
Resembling Red BRABUS G700 New Diecast Car | 1:32 Scale (3 Years till Grown Ups),"1,399","2,999","1,259.10",https://snooplay.in/products/resembling-red-brabus-g700-new-diecast-car-1-32-scale-3-years-till-grown-ups
Shield Blaster Shots Projectile Launcher with 6 Darts (8 Years till Grown Ups),"1,862.19","3,000","1,675.98",https://snooplay.in/products/shield-blaster-shots-projectile-launcher-with-6-darts-8-years-till-grown-ups
Ludo Game (Travel Edition) - Mini Board Game (4 Years till Grown Ups),224.10,249,201.69,https://snooplay.in/products/ludo-game-travel-edition-mini-board-game-4-years-till-grown-ups
Original Skip Bo Card Game (7 Years till Grown Ups),299,599,,https://snooplay.in/products/original-skip-bo-card-game-7-years-till-grown-ups-1
Resembling Lamborghini LP770ss Diecast Car | 1:32 Scale (3 Years till Grown Ups),"1,199","2,999","1,079.10",https://snooplay.in/products/resembling-lamborghini-lp770ss-diecast-car-1-32-scale-3-years-till-grown-ups
