title,product_price,original_price,price_w_discount,url
Dino Soap Kit (6-8 Years),"₹ 299
","MRP: ₹ 399
","
                              Best Price ₹ 269.10
                              ",https://snooplay.in/products/dino-soap-kit-6-8-years
Fizzy Chemistry Kit (6-11 Years),"₹ 999
","MRP: ₹ 1,499
","
                              Best Price ₹ 899.10
                              ",https://snooplay.in/products/fizzy-chemistry-kit-6-11-years
Light House Tent with LED Light (1-7 Years),"₹ 1,590
","MRP: ₹ 2,150
","
                              Best Price ₹ 1,431
                              ",https://snooplay.in/products/light-house-tent-with-led-light-1-7-years#MainContent
Set of 18 Climbing Wall Holds - Multicolor (5 Years till Grown Ups),"₹ 3,899
","MRP: ₹ 7,999
","
                              Best Price ₹ 3,509.10
                              ",https://snooplay.in/products/set-of-18-climbing-wall-holds-multicolor-5-years-till-grown-ups#MainContent
Remote Controlled Resembling Defender Toy Car | 1:16 Scale (5-12 Years) | Assorted Colors,"₹ 1,399
","MRP: ₹ 1,499
",,https://snooplay.in/products/remote-controlled-resembling-defender-toy-car-1-16-scale-5-12-years-assorted-colors
"Electronic Steering Wheel - Forward, Reverse, Parking (Sound & Light) - Assorted Colors (3-8 Years)","₹ 1,485
","MRP: ₹ 2,800
",,https://snooplay.in/products/electronic-steering-wheel-forward-reverse-parking-sound-light-assorted-colors-3-8-years
ATM Money Machine School Bag with Finger Print Sensor | Assorted Design (3-8 Years),"₹ 1,250
","MRP: ₹ 2,100
",,https://snooplay.in/products/atm-money-machine-school-bag-with-finger-print-sensor-assorted-design-3-8-years
Tool Set Suitcase Trolley Play Set (3-8 Years),"MRP: ₹ 1,349.10
",,"
                              Best Price ₹ 1,214.19
                              ",https://snooplay.in/products/tool-set-suitcase-trolley-play-set-3-8-years#MainContent
Little Doctor Set Suitcase Trolley (3-5 Years),"₹ 1,349.10
","MRP: ₹ 1,499
","
                              Best Price ₹ 1,214.19
                              ",https://snooplay.in/products/little-doctor-set-suitcase-trolley-3-5-years#MainContent
Set of 6 Household Play Set (3-7 Years) | Assorted Design,"₹ 1,575
","MRP: ₹ 1,750
","
                              Best Price ₹ 1,417.50
                              ",https://snooplay.in/products/set-of-6-household-play-set-3-7-years-assorted-design#MainContent
Medical Centre Suitcase - Doctor Pretend Play Set (3-7 Years),"₹ 449.10
","MRP: ₹ 499
","
                              Best Price ₹ 404.19
                              ",https://snooplay.in/products/medical-centre-suitcase-doctor-pretend-play-set-3-7-years#MainContent
Air Hockey Set - Play Anywhere (6 Years till Grown Ups),"₹ 629.10
","MRP: ₹ 699
","
                              Best Price ₹ 566.19
                              ",https://snooplay.in/products/air-hockey-set-play-anywhere-6-years-till-grown-ups
ATM Money Machine School Bag with Finger Print Sensor | Assorted Design (3-8 Years),"₹ 1,250
","MRP: ₹ 2,100
",,https://snooplay.in/products/atm-money-machine-school-bag-with-finger-print-sensor-assorted-design-3-8-years#MainContent
Fizzy Chemistry Kit (6-11 Years),"₹ 999
","MRP: ₹ 1,499
","
                              Best Price ₹ 899.10
                              ",https://snooplay.in/products/fizzy-chemistry-kit-6-11-years#MainContent
