title,product_price,original_price,price_w_discount,url
Original Skip Bo Card Game (7 Years till Grown Ups),299.0,599.0,,https://snooplay.in/products/original-skip-bo-card-game-7-years-till-grown-ups-1
Resembling Lamborghini LP770ss Diecast Car | 1:32 Scale (3 Years till Grown Ups),1199.0,2999.0,1079.1,https://snooplay.in/products/resembling-lamborghini-lp770ss-diecast-car-1-32-scale-3-years-till-grown-ups
Spiderman Web Shooter (Web Shoot Launcher),466.0,1000.0,419.4,https://snooplay.in/products/spiderman-web-shooter-web-shoot-launcher
Magical Water Painting Set (5-7 Years),399.0,1119.0,359.1,https://snooplay.in/products/magical-water-painting-set-5-7-years
Battery Operated Simulated Washing Machine with Rotating Drum (3-7 Years),1840.0,3500.0,,https://snooplay.in/products/battery-operated-simulated-washing-machine-with-rotating-drum-3-7-years
Shield Blaster Shots Projectile Launcher with 6 Darts (8 Years till Grown Ups),1862.19,3000.0,1675.98,https://snooplay.in/products/shield-blaster-shots-projectile-launcher-with-6-darts-8-years-till-grown-ups#MainContent
Hand & Feet Twister Jumping Hopscotch Play Mat (2-10 Years),474.05,1499.0,426.65,https://snooplay.in/products/hand-feet-twister-jumping-hopscotch-play-mat-2-10-years#MainContent
DIY Jelly Mix (Strawberry) with Unicorn Mould,320.0,349.0,288.0,https://snooplay.in/products/whip-up-magic-diy-strawberry-jelly-mix-with-unicorn-mould-gifting-combo
"""My First Christmas Book""Cloth Book (English Educational Book)",499.0,599.0,449.1,https://snooplay.in/products/my-first-christmas-bookcloth-book-english
Christmas Puzzle - Dark Red,399.0,599.0,359.1,https://snooplay.in/products/christmas-puzzle-dark-red
Christmas Puzzle - Light Red,399.0,599.0,359.1,https://snooplay.in/products/christmas-puzzle-light-red
A Christmas Morning - Festivals Puzzle,899.0,,809.1,https://snooplay.in/products/a-christmas-morning-festivals-puzzle
"Christmas Cheer Craft Activity Box, Wonderful Mix of 6 Craft Activities to Celebrate Christmas Festival, DIY Hobby Craft Kit for Kids and Adults",1299.0,,1169.1,https://snooplay.in/products/kalakaram-christmas-cheer-craft-activity-box-wonderful-mix-of-6-craft-activities-to-celebrate-christmas-festival-diy-hobby-craft-kit-for-kids-and-adults-christmas-gift-for-girls-and-boys
Christmas Craft Kit (4-8 Years),599.0,699.0,539.1,https://snooplay.in/products/christmas-craft-kit-4-8-years
Pendulum - STEM Educational DIY Wooden Puzzle (12-17 Years),1500.0,1650.0,1350.0,https://snooplay.in/products/pendulum-stem-educational-diy-wooden-puzzle-12-17-years
Wooden Blocks & Puzzles Game (1-2 Years),949.0,,854.1,https://snooplay.in/products/wooden-blocks-puzzles-game-1-2-years
DIY Robotics & AI Kit – STEM Projects with Modular Electronics (8-14 Years),3499.0,4000.0,3149.1,https://snooplay.in/products/diy-robotics-ai-kit-stem-projects-with-modular-electronics-8-14-years
5 in 1 Ambulance Set For Kids (Toy Cars Playset),629.1,699.0,566.19,https://snooplay.in/products/5-in-1-ambulance-set-toy-cars-vehicles-set-for-kids
Honda CBR 1000RR 1:18 Scale Diecast Bike Model,715.5,795.0,643.95,https://snooplay.in/products/honda-cbr-1000rr-1-18-scale-diecast-bike-toy-model
5 in 1 Craft Kit For Kids - Art & Craft (5-10 Years),525.0,700.0,472.5,https://snooplay.in/products/5-in-1-craft-kit-for-kids-art-craft-5-10-years
"Unicorn Stationery, Cosmetic & Gadget Organiser",539.1,,485.19,https://snooplay.in/products/unicorn-3d-stationery-gadget-cosmetic-electronics-organiser
SUV Diecast Car (3221) resembling Hummer (1:32 Scale) - Assorted Colours,450.0,525.0,405.0,https://snooplay.in/products/hummer-die-cast-car-miniature-model-toy
Ducati Diavel Carbon (1:18 Scale) Diecast Bike Model,795.0,,,https://snooplay.in/products/ducati-diavel-1-12-scale-diecast-bike-model
UNO Cricket Card Game (7 Years till Grown Ups),199.0,,,https://snooplay.in/products/uno-cricket-card-game-7-years-till-grown-ups
Archery Set with Glowing Sword & Suction Arrows (4-8 Years),515.0,599.0,463.5,https://snooplay.in/products/archery-set-with-glowing-sword-suction-arrows-4-8-years
4-in-1 Wonders of India Jumbo Jigsaw Puzzle - 4 x 99 Pieces (5-6 Years),299.0,330.0,269.1,https://snooplay.in/products/4-in-1-wonders-of-india-jumbo-jigsaw-puzzle-4-x-99-pieces-5-6-years
Fluffy Coral Soft Toy (6 Months - 7 Years) | Yellow,549.0,,494.1,https://snooplay.in/products/fluffy-coral-soft-toy-6-months-7-years-yellow
Building Blocks Toys for Kids | Educational and Learning Puzzle | 120 Pcs (Multicolor),259.0,599.0,233.1,https://snooplay.in/products/building-blocks-toys-for-kids-educational-and-learning-puzzle-120-pcs-multicolor
UNO 2010 Card Game (7 Years till Grown Ups),249.0,,,https://snooplay.in/products/uno-2010-card-game-7-years-till-grown-ups
Fluffy Coral Soft Toy (6 Months - 7 Years) | Yellow,549.0,,494.1,https://snooplay.in/products/fluffy-coral-soft-toy-6-months-7-years-yellow#MainContent
Archery Set with Glowing Sword & Suction Arrows (4-8 Years),515.0,599.0,463.5,https://snooplay.in/products/archery-set-with-glowing-sword-suction-arrows-4-8-years#MainContent
4-in-1 Wonders of India Jumbo Jigsaw Puzzle - 4 x 99 Pieces (5-6 Years),299.0,330.0,269.1,https://snooplay.in/products/4-in-1-wonders-of-india-jumbo-jigsaw-puzzle-4-x-99-pieces-5-6-years#MainContent
UNO 2010 Card Game (7 Years till Grown Ups),249.0,,,https://snooplay.in/products/uno-2010-card-game-7-years-till-grown-ups#MainContent
5 in 1 Craft Kit For Kids - Art & Craft (5-10 Years),525.0,700.0,472.5,https://snooplay.in/products/5-in-1-craft-kit-for-kids-art-craft-5-10-years#MainContent
UNO Cricket Card Game (7 Years till Grown Ups),199.0,,,https://snooplay.in/products/uno-cricket-card-game-7-years-till-grown-ups#MainContent
